"Time-Step";"flow-time";"tensao-a";"tensao-b";"tensao-c"
73;0.00608309;-840.7123003906041;909.4671806353878;-305.7856418956553
74;0.006166420000000001;-841.0565095786795;911.1929234398009;-263.5933701538958
75;0.00624975;-839.8561500696013;895.851693774211;-233.1224253145758
76;0.00633308;-838.8468881839132;887.7970960304561;-194.8682716109422
77;0.00641641;-838.1807472386083;872.2002950498073;-156.8305980628108
78;0.00649974;-835.495901531183;865.7223856089306;-109.3381021254066
79;0.006583070000000001;-835.7563626475581;858.6524777591355;-57.18229114222049
80;0.0066664;-833.0265097258485;835.7902225983501;-3.456425268201553
81;0.006749730000000001;-839.4032294457147;817.2235493050712;54.74095203870458
82;0.00683306;-846.3306680604353;802.880595679194;116.5420412042764
83;0.006916390000000001;-851.1375358981842;781.4828667469278;178.7548629305031
84;0.00699972;-871.4183114108112;771.4095284320042;244.4962096975488
85;0.00708305;-881.4070709072148;763.2022437773136;311.9661406579135
86;0.00716638;-902.0397845544119;753.7217022583877;379.4858228742417
87;0.00724971;-909.3944567744776;744.2502339747424;447.2781524367223
88;0.007333040000000001;-925.776516354481;733.119486335127;514.1652498561563
89;0.00741637;-928.6458483510902;723.7724395838303;581.4582862120626
90;0.007499700000000001;-937.5137011182195;713.5867726497793;647.6521581070513
91;0.00758303;-932.0021150313356;704.7402051320261;714.2576387190439
92;0.007666360000000001;-938.7214244619053;695.0023610007079;779.2038157555547
93;0.00774969;-936.4346674774041;685.7881609111992;843.230386959661
94;0.00783302;-945.368840028756;674.7388420993607;903.9304713205586
95;0.007916349999999999;-951.2486080633289;663.0363472294315;961.9085925104735
96;0.00799968;-963.985051632156;650.2855377763111;1015.476291945085
97;0.008083010000000002;-973.6745804113381;638.4102054020746;1065.617579296167
98;0.008166340000000001;-985.1345363968722;623.8332058142327;1111.043909902396
99;0.008249670000000001;-993.390340614122;607.6618552413196;1153.101180121941
100;0.008333;-1000.295542283911;591.9433613355468;1190.136878577569
101;0.00841633;-1005.520508351119;576.5170646734722;1220.995371056863
102;0.008499659999999999;-1008.073694852823;556.3886283261844;1246.607297843261
103;0.00858299;-1010.01470089161;536.6614087126616;1266.418980775076
104;0.008666320000000002;-1009.57536844031;516.0474035699249;1281.583694656528
105;0.008749650000000001;-1009.572524631869;492.1743018837017;1292.299072362592
106;0.008832980000000001;-1007.717036044614;468.0711095137889;1299.213078314726
107;0.00891631;-1005.040996716934;441.3437734067762;1304.481066349141
108;0.00899964;-1002.472209748412;413.1247547522392;1307.961716029498
109;0.009082969999999999;-999.1456139905774;383.3325824754193;1309.09277949721
110;0.0091663;-996.3448751727827;350.7237705941663;1306.955805083512
111;0.009249630000000002;-992.9253415256231;315.3499244599005;1304.621206558747
112;0.009332960000000001;-989.8064125136307;276.0406226592301;1299.581946579388
113;0.009416290000000001;-986.4232195893454;232.6027333477815;1293.330416822542
114;0.00949962;-983.2070442074087;186.341639266772;1289.438640210151
115;0.00958295;-979.265099620162;136.7381929993718;1285.743460231984
116;0.009666279999999999;-975.6349768493457;84.79575406296026;1279.7794809753
117;0.009749609999999999;-971.7197266213891;30.17886737035118;1270.826752362392
118;0.009832940000000002;-968.1118398936524;-26.77399468772679;1260.472187921083
119;0.009916270000000001;-963.0239095386352;-85.17145059224066;1250.328715822012
120;0.009999600000000001;-957.9558760119476;-144.7319234352869;1240.924104046181
121;0.01008293;-950.8577753630291;-204.8647535752257;1231.367242378519
122;0.01016626;-943.8391281821621;-266.7715593130547;1221.657522024028
123;0.01024959;-936.4940962625717;-328.5955310547788;1210.739203245696
124;0.01033292;-926.9218008291684;-389.5100879641902;1200.980262667547
125;0.01041625;-918.1914589424214;-451.8321209711079;1190.048620158713
126;0.01049958;-909.1760234106931;-513.5223674072809;1178.031989340377
127;0.01058291;-899.3202815527006;-572.4828063903416;1165.031948546324
128;0.01066624;-889.2027545706306;-628.1315671975758;1152.313437909758
129;0.01074957;-878.6166297301298;-680.4044864590261;1138.712540293103
130;0.0108329;-865.9159422417542;-728.2884586662415;1126.683289679701
131;0.01091623;-852.741908711751;-773.0340295485241;1112.278293810966
132;0.01099956;-838.9612128702521;-812.790359434752;1097.71050003366
133;0.01108289;-825.2673847997581;-848.7676372794944;1081.968615020878
134;0.01116622;-808.0563279424319;-878.4250561301427;1065.607948125654
135;0.01124955;-791.0791046964321;-903.6741503540349;1049.700167938653
136;0.01133288;-772.754256340637;-924.3550635765959;1034.590397182459
137;0.01141621;-751.313511426439;-939.9097225199334;1018.763864432101
138;0.01149954;-728.4157826112997;-951.2016198547639;1003.212118659046
