Time-Step;flow-time;jmag(plano-eletrodos-a);jmag(plano-eletrodos-b);jmag(plano-eletrodos-c)
43.0;0.003569;2791694.024469514;16993797.34847673;20070901.39356767
44.0;0.003652;2341928.130319607;17553164.09575142;20380586.85576154
45.0;0.003735;1899601.110240882;18004896.58703387;19904107.62132625
46.0;0.003818;1497467.21194064;18617440.35078138;20187394.64837959
47.0;0.003901;1112971.918394871;19035639.8296416;19717896.42063683
48.0;0.003984;759638.5095191456;19613538.60946853;19919273.312009
49.0;0.004066999999999999;416051.513272487;19884171.75710353;19293884.15501726
50.0;0.00415;93145.8978094968;20398632.24148589;19473344.1771656
51.0;0.004233;228055.9578640534;20578226.12320611;18838848.90141113
52.0;0.004316;537266.8584889851;20981792.91155571;18914270.72155686
53.0;0.004399;848642.3104426899;21008006.58593757;18088151.11580782
54.0;0.004482;1151447.741802118;21364124.78367031;18196564.9674645
55.0;0.004565;1457737.553012865;21387347.92528575;17482628.01968309
56.0;0.004647999999999999;1755618.647884441;21611219.82670744;17369960.49229496
57.0;0.004731;2055433.392419605;21512911.24677628;16507493.3882285
58.0;0.004814;2348039.868810889;21679897.9484899;16381860.88359871
59.0;0.004897;2640117.556199359;21627112.651097;15714446.41085996
60.0;0.00498;2927820.867628747;21666837.7390506;15352019.61339781
61.0;0.005063;3215056.139947353;21518086.00872885;14564468.44229785
62.0;0.005146;3498518.980468138;21492224.83533916;14157851.85882895
63.0;0.005229;3782971.62992746;21353591.86467871;13497924.03159747
64.0;0.005312;4069616.329077872;21253313.87948079;12996722.19942263
65.0;0.005395;4365787.216838188;21028513.21132842;12227574.84409927
66.0;0.005478;4669823.941797147;20870205.31049015;11687557.48999568
67.0;0.005561;4989727.500951657;20635602.68194132;10980582.41698866
68.0;0.005644;5348873.748960181;20426968.68137619;10372387.34256419
69.0;0.005727;5734217.121564014;20164417.91664107;9655399.206721835
70.0;0.00581;6166626.132652218;19910921.75547753;9005833.277385566
71.0;0.005893;6663623.352095717;19627212.3567088;8294773.9262442
72.0;0.005976;7180234.288498543;19346987.55029428;7618127.49583982
73.0;0.006059;7735191.462022068;19054392.01548878;6923983.489865891
74.0;0.006142;8224807.13652501;18738420.13399963;6251641.471164824
75.0;0.006225;8697034.769121045;18418547.31007726;5583287.311659344
76.0;0.006308;9103618.102713125;18075488.97950298;4921129.689884824
77.0;0.006391;9515291.428293291;17725336.80973186;4260433.948952931
78.0;0.006474;9939061.704182887;17376830.18509506;3600498.010532442
79.0;0.006556999999999999;10382548.24735118;17020870.7049385;2960710.010015808
80.0;0.00664;10861389.67626932;16672144.65611751;2363756.987370308
81.0;0.006723;11411475.83969917;16320778.46841077;1799386.041057598
82.0;0.006806;11856600.03882341;15924511.72839247;1255585.086160294
83.0;0.006889;12376567.8611443;15519395.78594312;747500.8032323614
84.0;0.006972;12826266.06948255;15105818.9384642;272863.6169145456
85.0;0.007055;13287989.56778186;14684233.99364733;150081.628443811
86.0;0.007138;13743293.26878016;14288212.40969869;522748.3273692797
87.0;0.007221;14211523.45741514;13950613.030757;869546.8136563259
88.0;0.007304;14735530.37635366;13765695.056049;1199726.384172122
89.0;0.007386999999999999;15464310.02878463;13917852.47705952;1524040.100902712
90.0;0.00747;16495266.11442448;14573074.303884;1841498.231176996
91.0;0.007553;17654656.75420133;15404467.59625996;2146443.364472491
92.0;0.007636;18626772.25893138;15832885.69685837;2448244.811922826
93.0;0.007719;19476440.0146066;16257638.87471774;2732429.120080709
94.0;0.007802;20159029.37616171;16475349.70549001;3009929.182446207
95.0;0.007885;20704510.49166531;16445363.35937252;3286262.208899767
96.0;0.007968;20679598.40557319;16137202.80149801;3553994.023999973
97.0;0.008050999999999999;21159163.01341188;15911279.02451918;3822050.357484189
98.0;0.008133999999999999;20821179.45423157;15429170.4836614;4080883.010335832
99.0;0.008216999999999999;21292364.79714263;15214120.67512713;4349304.2970163
100.0;0.0083;20677104.04053909;14592961.07974183;4608973.308256299
101.0;0.008383;21159269.93360693;14321010.5382115;4887475.339731796
102.0;0.008466;20458972.06443558;13598242.57838305;5163793.81295245
103.0;0.008549000000000001;20855012.73567433;13227945.7765545;5457550.494246262
104.0;0.008632;19994238.81341593;12386569.11387479;5745645.020821576
105.0;0.008715;20379602.34708284;11962504.92445579;6063343.216144213
106.0;0.008798;19540590.8146529;11091044.11259768;6381064.907572512
107.0;0.008881;19814185.82480967;10595203.69980729;6723893.577060966
108.0;0.008964;18856492.53078347;9662407.274134947;7060592.383331059
109.0;0.009047;19144639.61858316;9150771.44092678;7429414.214684954
110.0;0.00913;18299265.86881596;8250520.267982507;7772751.337153379
111.0;0.009212999999999999;18409077.04148553;7670387.327532302;8164196.231863265
112.0;0.009295999999999999;17499043.58843664;6729069.067269324;8590959.850681169
