Time-Step;flow-time;tensao(plano-eletrodos-a);tensao(plano-eletrodos-b);tensao(plano-eletrodos-c)
78.0;0.006474;-818.6328437251759;554.9459873273817;35.80974844496003
79.0;0.006556999999999999;-829.7531567769606;557.3671934607441;54.94477766305697
80.0;0.00664;-840.7732609395222;558.0088514028541;77.02019570174703
81.0;0.006723;-844.256483501186;557.6759683036727;101.3041056327454
82.0;0.006806;-854.1744728482236;557.7148756568963;127.0369384362223
83.0;0.006889;-854.7640918605765;557.4954328830581;155.4184827870347
84.0;0.006972;-857.7889990355385;555.8260992057947;185.7412173782778
85.0;0.007055;-857.1540067183688;553.8089297642146;219.9661517035801
86.0;0.007138;-856.3081989131576;549.2273541806554;256.9053807954351
87.0;0.007221;-852.9030338275794;540.0258563434386;294.5919115712865
88.0;0.007304;-842.5964757285223;520.9240323859142;331.1726759399714
89.0;0.007386999999999999;-815.293862339328;481.6753904791;363.3586611364772
90.0;0.00747;-764.1791533539665;411.9485833947298;389.041563865518
91.0;0.007553;-704.7009821810603;330.5121922478361;413.1995007164511
92.0;0.007636;-657.6672569697353;272.0151386327179;442.5409928776005
93.0;0.007719;-620.5184388198873;210.1228569542891;472.5890019899246
94.0;0.007802;-593.9455771962266;158.2872638034451;505.0040052730501
95.0;0.007885;-574.8711727587571;120.253053836353;539.9145949802842
96.0;0.007968;-591.8528923586921;96.98283793431632;578.2715215812358
97.0;0.008050999999999999;-572.3865224543728;69.9063935822235;614.9585294880679
98.0;0.008133999999999999;-606.4206175769057;54.35008660889117;654.1561328828928
99.0;0.008216999999999999;-583.7701285395715;24.50715138949618;688.706491527063
100.0;0.0083;-632.8075109996332;14.58008345980271;727.3508352078071
101.0;0.008383;-605.239299656724;-13.52580181046357;759.5606867276643
102.0;0.008466;-655.1554133213101;-19.37950933054974;795.706348710189
103.0;0.008549000000000001;-629.4697205491733;-43.40083262466196;825.4227482874927
104.0;0.008632;-685.7692362145301;-43.99621888855485;859.4851339178975
105.0;0.008715;-656.57708835587;-66.19337341846571;885.3637660545376
106.0;0.008798;-707.0581923220327;-66.44891109721779;914.6573415020908
107.0;0.008881;-681.8029356250057;-86.0504742686827;936.5011446329048
