x:tensao_200pontos: tensao(corte-tensao-a);y:tensao_200pontos: tensao(corte-tensao-a);x:tensao_200pontos: tensao(corte-tensao-b);y:tensao_200pontos: tensao(corte-tensao-b);x:tensao_200pontos: tensao(corte-tensao-c);y:tensao_200pontos: tensao(corte-tensao-c);x:tensao_100pontos: tensao(corte-tensao-a);y:tensao_100pontos: tensao(corte-tensao-a);x:tensao_100pontos: tensao(corte-tensao-b);y:tensao_100pontos: tensao(corte-tensao-b);x:tensao_100pontos: tensao(corte-tensao-c);y:tensao_100pontos: tensao(corte-tensao-c)
0,03328;1358,862503455624;0,03328;812,7758968261252;0,03328;-210,7555217059018;0,0585;-1730,012032043978;0,0585;-936,6120924484223;0,0585;-6,185070098604915
0,03413;1597,087782120007;0,03413;1008,608045186092;0,03413;-231,7654657833637;0,06;-1673,460840456072;0,06;-1185,371877044521;0,06;84,1098227707766
0,03498;1688,055542555833;0,03498;1068,200938327843;0,03498;-218,8804605468559;0,0615;-1199,372201328689;0,0615;-901,3320113990044;0,0615;-19,38440533817411
0,03583;1635,673969894752;0,03583;1117,010069154555;0,03583;-207,2517122219243;0,063;-642,7541665248823;0,063;-1283,757059561026;0,063;-737,1928999948492
0,03668;1186,789793266487;0,03668;974,512958032388;0,03668;0,1007940159734042;0,0645;-330,3567407817415;0,0645;-1744,774824314133;0,0645;-1410,014254421716
0,03753;721,1030887725118;0,03753;1042,107195103441;0,03753;448,6044168663288;0,066;-331,0391401039859;0,066;-1828,288986996154;0,066;-1558,248405652923
0,03838;34,39557839160882;0,03838;1171,301387320607;0,03838;591,5442136806533;0,0675;-371,6220261826933;0,0675;-964,8569555510708;0,0675;-1837,411920275922
0,03923;-77,43248727277542;0,03923;1527,857033290211;0,03923;1000,445531689468;0,0689999999999999;-633,5875872375361;0,0689999999999999;-1218,066299816361;0,0689999999999999;-1765,416210508058
0,04008;-88,77739853641357;0,04008;1653,104658299372;0,04008;1194,737555170645;0,0704999999999999;-986,3732171109552;0,0704999999999999;-1103,547014632269;0,0704999999999999;-1505,531576744606
0,04093;-85,59097635508948;0,04093;1622,978225103981;0,04093;1319,136181445518;0,0719999999999999;-2063,275141984398;0,0719999999999999;-1084,49556047989;0,0719999999999999;-1495,480689704255
0,04178;-52,40685026121945;0,04178;692,4058136378682;0,04178;1468,498906238717;0,0735;-1939,456166194955;0,0735;-868,594213581348;0,0735;-1132,510572143811
0,04263;-141,5673816926428;0,04263;541,6547436355852;0,04263;1667,618500590767;0,075;-2008,383634797959;0,075;-1591,455015805952;0,075;-852,1646444432502
0,04348;-85,52912130117191;0,04348;634,6686637237192;0,04348;1634,669964256855;0,0765;-1875,05545066407;0,0765;-1407,566324661987;0,0765;-797,1322925603203
0,04433;134,6538048114644;0,04433;748,6804198971935;0,04433;1353,231518181708;0,078;-1725,234039533184;0,078;-1271,430150427527;0,078;-892,6284842295519
0,04518;224,7944516540122;0,04518;499,8648766304818;0,04518;1050,649876747259;0,0795;-1151,883677356575;0,0795;-1532,237186933812;0,0795;-1076,460720575647
0,04603;787,7555735580787;0,04603;440,9766564537386;0,04603;985,5339623579948;0,081;-380,740393945853;0,081;-1646,194290651488;0,081;-1268,616569376555
0,04688;1468,445509043785;0,04688;439,8873284488885;0,04688;979,8048802029164;0,0824999999999999;-401,8185902272995;0,0824999999999999;-1708,065606803937;0,0824999999999999;-1633,193651007223
0,04773;1593,676320666463;0,04773;169,8868721227327;0,04773;648,2702189959195;0,0839999999999999;-535,3351696851212;0,0839999999999999;-1255,294611898757;0,0839999999999999;-2153,1146216692
0,04858;1608,105162922987;0,04858;71,1207177696753;0,04858;473,4050968639846;0,0854999999999999;-744,0478547160342;0,0854999999999999;-1236,736324336225;0,0854999999999999;-2132,461175376696
0,04943;1562,410734219325;0,04943;1084,583927830567;0,04943;483,6917536348442;0,0869999999999999;-1036,640812452458;0,0869999999999999;-1190,286096366834;0,0869999999999999;-1798,800725014615
0,05028;1657,604681289142;0,05028;1174,432381754656;0,05028;149,0064535924286;0,0885;-1890,537078092199;0,0885;-713,9184796465441;0,0885;-1587,427893625538
0,05113;1724,066591307574;0,05113;1222,816220805988;0,05113;161,9607202493182;0,09;-1980,201620476415;0,09;-187,129334358142;0,09;-721,7704838389645
0,05198;1572,041410602362;0,05198;977,5846135337548;0,05198;242,9057017697291;0,0915;-1974,629839175528;0,0915;-219,8456964544935;0,0915;-343,5704006030663
0,05283;1505,491888008714;0,05283;943,6063726734278;0,05283;390,3132801704171;0,093;-1980,724690210638;0,093;-778,8934512833506;0,093;306,6357799052159
0,05368;1417,297306886824;0,05368;1159,71825752764;0,05368;613,5567493897942;0,0945;-1660,285603755824;0,0945;-1045,755983099309;0,0945;-412,6017707183969
0,05453;955,2873219585366;0,05453;1405,136932581976;0,05453;874,0834641709762;0,096;-1212,282311119028;0,096;-1743,920811991651;0,096;-984,2978000894008
0,05538;486,3085704131051;0,05538;1582,81907768324;0,05538;1067,954943790223;0,0975;-775,7560429711651;0,0975;-2287,44696546813;0,0975;-1831,211202690645
0,05623;394,1642452586509;0,05623;1857,461236480648;0,05623;1354,918846514804;0,0989999999999999;-712,1162503290259;0,0989999999999999;-2597,039209291872;0,0989999999999999;-2114,138803120282
0,05708;384,9107211176465;0,05708;2061,482979350598;0,05708;1683,790384615526;0,1005;-724,8526076697966;0,1005;-1670,061043848712;0,1005;-2482,269430136069
0,05793;497,5718459518173;0,05793;1223,306787473183;0,05793;1808,037096860447;NA;NA;NA;NA;NA;NA
0,05878;286,2157665750844;0,05878;1011,55528583441;0,05878;2059,472696350279;NA;NA;NA;NA;NA;NA
0,05963;161,7971064026996;0,05963;760,793815152591;0,05963;2110,946363832114;NA;NA;NA;NA;NA;NA
0,06048;596,758653514863;0,06048;1242,252714394044;0,06048;1877,154749787619;NA;NA;NA;NA;NA;NA
0,06133;649,950875224365;0,06133;1147,094720333494;0,06133;1731,942099585273;NA;NA;NA;NA;NA;NA
0,06218;691,3660859439466;0,06218;799,5851279207557;0,06218;1386,127879110231;NA;NA;NA;NA;NA;NA
0,06303;1257,188762487464;0,06303;663,1554778411122;0,06303;1145,030096121133;NA;NA;NA;NA;NA;NA
0,06388;1743,901083861887;0,06388;573,7485912217195;0,06388;1054,925045423943;NA;NA;NA;NA;NA;NA
0,06473;1766,105367524444;0,06473;386,7884278204472;0,06473;887,609969387479;NA;NA;NA;NA;NA;NA
0,06558;1759,518329864418;0,06558;453,3340209909333;0,06558;700,7118428546893;NA;NA;NA;NA;NA;NA
0,06643;1718,141530868246;0,06643;847,6344768043577;0,06643;218,7028158287673;NA;NA;NA;NA;NA;NA
