"Time-Step" "tensao(corte-tensao-a)" "tensao(corte-tensao-b)" "tensao(corte-tensao-c)" "flow-time"
10 530.8980637445713 -28.6476172286123 -467.6076992209312 0.0008500000000000001
20 891.6711634720829 136.1687425385296 -501.4357915602723 0.00183
30 657.2772651969622 -17.30199450083597 -764.9915028019137 0.00268
40 400.5807899978395 121.9185346875993 -693.7647680392736 0.00353
50 -112.3771032273756 291.0157547072379 -439.153020875758 0.00438
60 -874.5638651200234 226.5872397066457 -350.0071781656719 0.00523
70 -954.8000443163972 506.7859770974571 -63.19243591081694 0.00608
80 -940.4917657087676 193.6285381365557 -182.635031002003 0.00693
90 -859.1264432843253 -244.8587291617125 7.896761808449988 0.00778
100 -844.508680810267 -222.0465447568473 525.0561377477517 0.008630000000000001
110 -629.8710456109537 -6.916709442018559 603.6701372089764 0.009480000000000001
120 -640.3672061258548 -72.72032084603067 494.6622772014721 0.01033
130 -524.53540104656 -192.020974891334 388.0823614092937 0.01118
140 -389.6654873456415 -247.4260104028896 304.1982400386831 0.01203
150 78.59518072603788 -256.9298152800177 224.0706679289975 0.01288
160 304.2210621343364 -284.9518388231454 193.494847268888 0.01373
170 704.7654540417104 -167.4112420953993 290.5471316537975 0.01458
180 828.0665336172942 273.3699226794973 255.022851394737 0.01543
190 1217.548967244635 626.4430248874282 -155.9506485604126 0.01628
200 1420.541707335635 863.3139778199736 -238.62722276301 0.01713
210 1491.179041071519 955.4312960255479 -220.2330457510273 0.01798
220 1386.115269544402 831.0158319268772 -58.08741832875871 0.01883
230 1316.00942275276 872.0108359751414 151.1590954364823 0.01968
240 1194.0841294282 1228.407859756076 473.2614214584248 0.02053
250 517.975096371631 1325.668220995017 604.9612246478779 0.02138
260 24.73150679137257 1393.309294086664 862.8358902270927 0.02223
270 -4.029106858858254 1457.086617879706 1051.076762531938 0.02308
280 3.741941191544364 1489.091689739187 939.6389992671686 0.02393
290 36.82163992203779 798.2685431509924 1080.627509946085 0.02478
300 -24.75520019070061 638.836278723293 1671.072441960022 0.02563
310 37.37280557589754 857.4994796071073 1666.197390461404 0.02648
320 257.1310494728986 1002.997336959744 1615.097455943764 0.02733
330 392.8436912921173 880.2383922353143 1479.109411418498 0.02818
340 564.3824747934769 549.4241292440387 1109.006340870089 0.02903
350 1391.533880381401 620.4020025031673 1173.853985276842 0.02988
360 1630.771110470463 366.7717621757596 911.3521836204004 0.03073
370 1660.357476272516 228.0144516847436 717.631427281996 0.03158
380 1441.477021143519 588.7012484350913 396.2551101654126 0.03243
390 1358.862503455624 812.7758968261252 -210.7555217059018 0.03328
400 1597.087782120007 1008.608045186092 -231.7654657833637 0.03413000000000001
410 1688.055542555833 1068.200938327843 -218.8804605468559 0.03498
420 1635.673969894752 1117.010069154555 -207.2517122219243 0.03583
430 1186.789793266487 974.5129580323879 0.1007940159734042 0.03668
440 721.1030887725118 1042.107195103441 448.6044168663288 0.03753000000000001
450 34.39557839160882 1171.301387320607 591.5442136806533 0.03838
460 -77.43248727277542 1527.857033290211 1000.445531689468 0.03923
470 -88.77739853641357 1653.104658299372 1194.737555170645 0.04008
480 -85.59097635508948 1622.978225103981 1319.136181445518 0.04093000000000001
490 -52.40685026121945 692.4058136378682 1468.498906238717 0.04178
500 -141.5673816926428 541.6547436355852 1667.618500590767 0.04263
510 -85.52912130117191 634.6686637237192 1634.669964256855 0.04348
520 134.6538048114644 748.6804198971935 1353.231518181708 0.04433000000000001
530 224.7944516540122 499.8648766304818 1050.649876747259 0.04518
540 787.7555735580787 440.9766564537386 985.5339623579948 0.04603
550 1468.445509043785 439.8873284488885 979.8048802029165 0.04688000000000001
560 1593.676320666463 169.8868721227327 648.2702189959195 0.04773000000000001
570 1608.105162922987 71.1207177696753 473.4050968639846 0.04858000000000001
580 1562.410734219325 1084.583927830567 483.6917536348442 0.04943000000000001
590 1657.604681289142 1174.432381754656 149.0064535924286 0.05028000000000001
600 1724.066591307574 1222.816220805988 161.9607202493182 0.05113
610 1572.041410602362 977.5846135337548 242.9057017697291 0.05198000000000001
620 1505.491888008714 943.6063726734278 390.3132801704171 0.05283000000000001
630 1417.297306886824 1159.71825752764 613.5567493897942 0.05368000000000001
640 955.2873219585366 1405.136932581976 874.0834641709762 0.05453
650 486.3085704131051 1582.81907768324 1067.954943790223 0.05538000000000001
660 394.1642452586509 1857.461236480648 1354.918846514804 0.05623000000000001
670 384.9107211176465 2061.482979350598 1683.790384615526 0.05708000000000001
680 497.5718459518173 1223.306787473183 1808.037096860447 0.05793
690 286.2157665750844 1011.55528583441 2059.472696350279 0.05878000000000001
700 161.7971064026996 760.793815152591 2110.946363832114 0.05963000000000001
710 596.758653514863 1242.252714394044 1877.154749787619 0.06048000000000001
720 649.9508752243649 1147.094720333494 1731.942099585273 0.06133
730 691.3660859439466 799.5851279207557 1386.127879110231 0.06218000000000001
740 1257.188762487464 663.1554778411122 1145.030096121133 0.06303
750 1743.901083861887 573.7485912217195 1054.925045423943 0.06388000000000001
760 1766.105367524444 386.7884278204472 887.6099693874791 0.06473000000000001
770 1759.518329864418 453.3340209909333 700.7118428546893 0.06558
780 1718.141530868246 847.6344768043577 218.7028158287673 0.06643000000000002
