"Time-Step";"flow-time";"current_in_a";"current_in_b";"current_in_c"
75;0.00624975;16215940.36389702;23736983.29339861;5168576.304652387
76;0.00633308;17083798.97859296;23585769.41330352;4358261.321761716
77;0.00641641;17964116.98817056;23535168.50802277;3564310.86113626
78;0.00649974;18819540.97166023;23400157.70778577;2850378.00930043
79;0.006583070000000001;19606470.1025205;23219405.00362827;2190661.205264449
80;0.0066664;20439528.9373232;23231602.14042113;1607126.203801242
81;0.006749730000000001;21102829.54366576;23116536.26735747;1069455.296115693
82;0.00683306;21730007.15154742;22937559.70767542;563246.6582126637
83;0.006916390000000001;22374554.99205459;22826248.00172455;93379.18671696511
84;0.00699972;22745074.44042778;22466431.54284461;369443.4897830954
85;0.00708305;23217877.65938941;22091849.34562194;811437.2010379307
86;0.00716638;23513265.4166028;21664077.91327839;1242314.171746864
87;0.00724971;23952987.40727316;21252974.89431685;1674046.857921668
88;0.007333040000000001;24217069.85392751;20783325.76843854;2103120.222222537
89;0.00741637;24636518.77928346;20310420.03546778;2535816.027299786
90;0.007499700000000001;24928605.91226852;19790615.39865659;2970117.253085082
91;0.00758303;25377952.4587082;19281856.19996708;3405920.783704404
92;0.007666360000000001;25638001.18155055;18711048.60971779;3843006.164756499
93;0.00774969;25982133.29162011;18124650.99840168;4289606.71725451
94;0.00783302;26155431.58649604;17497452.08378362;4755843.394971102
95;0.007916349999999999;26325616.69180239;16834506.58543948;5245118.234742568
96;0.00799968;26386115.76048745;16139820.54494152;5771463.407380724
97;0.008083010000000002;26425619.38805925;15394183.16524581;6333870.820117614
98;0.008166340000000001;26420278.28957129;14635722.13823664;6930056.612747481
99;0.008249670000000001;26414404.93977667;13873746.21965806;7539743.346884064
100;0.008333;26399066.34423086;13075263.25249507;8247665.34307395
101;0.00841633;26364012.32861203;12244815.6318108;9086934.73035522
102;0.008499659999999999;26335115.68753855;11443149.68058161;9961895.514072254
103;0.00858299;26295744.18550161;10611937.80856947;10833732.04677895
104;0.008666320000000002;26229480.14513932;9764017.284904443;11697771.03596716
105;0.008749650000000001;26150044.33870502;8928250.503162554;12547618.3470387
106;0.008832980000000001;26058437.00640278;8093260.682355496;13377406.79530273
107;0.00891631;25945200.24135313;7273692.344841026;14158266.31135532
108;0.00899964;25805970.21317413;6465162.427122273;14910610.25070124
109;0.009082969999999999;25640854.82942492;5666223.65900417;15648419.72410682
110;0.0091663;25444137.30373426;4882435.896279468;16355882.3308122
111;0.009249630000000002;25227646.40377457;4129135.481272087;17027612.50971291
112;0.009332960000000001;25001538.7627474;3411938.868275823;17688952.52734866
113;0.009416290000000001;24747927.404542;2734989.606242381;18306811.75584196
114;0.00949962;24463157.03276862;2095767.177397368;18859847.43104169
115;0.00958295;24144934.84719789;1486617.687604408;19374689.92195472
116;0.009666279999999999;23812333.78565696;904744.3361451358;19890549.59768419
117;0.009749609999999999;23460526.83102232;359185.5415956852;20417058.2599563
118;0.009832940000000002;23080531.53903295;256708.6142580211;20934005.59205009
119;0.009916270000000001;22654167.86643459;750645.7570925531;21416486.98181748
120;0.009999600000000001;22217869.13669417;1243739.750305841;21855890.76584062
121;0.01008293;21775168.72064316;1719981.71342278;22252670.06928925
122;0.01016626;21278302.47335981;2178766.470985258;22603037.30573061
