0.000000	12707.0000	-6353.5000	-6353.5000
0.000000	15000.0000	-7500.0000	-7500.0000
0.000000	15000.0000	-7500.0000	-7500.0000
0.000000	15000.0000	-7500.0000	-7500.0000
0.000000	15000.0000	-7500.0000	-7500.0000
0.000000	15000.0000	-7500.0000	-7500.0000
0.000010	14999.8934	-7450.9742	-7548.9192
0.000010	14999.8934	-7450.9742	-7548.9192
0.000010	11666.5838	-5784.3194	-5882.2643
0.000000	11666.6667	-5833.3333	-5833.3333
0.000000	7563.1945	-5228.0126	-2335.1819
0.000083	7507.0041	-4937.2208	-2569.7833
0.000083	12700.7304	-6004.7166	-6696.0137
