Time-Step;flow-time;current_in_a;current_in_b;current_in_c
600;0.003;14938420.96293008;20023424.55873703;-34961845.5216671
610;0.003050000000000001;14337409.1353395;20562889.71696237;-34900298.85230187
620;0.0031;13731303.29455242;21095048.97838389;-34826352.2729363
630;0.00315;13120318.787088;21619713.26934995;-34740032.05643794
640;0.003200000000000001;12504672.69283246;22136696.17913624;-34641368.87196869
650;0.00325;11884583.74791165;22645814.02617656;-34530397.7740882
660;0.0033;11260272.26697505;23146885.9233241;-34407158.19029915
670;0.003350000000000001;10631960.0649191;23639733.84211972;-34271693.90703882
680;0.0034;9999870.378077427;24124182.67604461;-34124053.05412203
690;0.00345;9364227.784905985;24600060.30273484;-33964288.08764082
700;0.003500000000000001;8725258.126191434;25067197.64513561;-33792455.77132704
710;0.00355;8083188.424811001;25525428.73157348;-33608617.15638448
720;0.0036;7438246.805072288;25974590.75472536;-33412837.55979764
730;0.00365;6790662.411661814;26414524.12946317;-33205186.54112498
740;0.0037;6140665.328231026;26845072.54955365;-32985737.87778468
750;0.00375;5488486.495648629;27266083.04319325;-32754569.53884188
760;0.0038;4834357.629948379;27677406.02735829;-32511763.65730667
770;0.00385;4178511.140001597;28078895.36095104;-32257406.50095263
780;0.003900000000000001;3521180.044943224;28470408.39672302;-31991588.44166624
790;0.00395;2862597.891381419;28851806.03195685;-31714403.92333826
800;0.004;2202998.670419396;29222952.7578888;-31425951.4283082
810;0.004050000000000001;1542616.734519604;29583716.70785442;-31126333.44237403
820;0.0041;881686.7142393967;29933969.70414009;-30815656.41837949
830;0.00415;220443.4348678753;30273587.30352401;-30494030.73839189
840;0.004200000000000001;-440878.1670063951;30602448.84149026;-30161570.67448386
850;0.00425;-1102043.126967214;30920437.47510029;-29818394.34813307
860;0.004300000000000001;-1762816.536252537;31227440.22450673;-29464623.6882542
870;0.004350000000000001;-2422963.625216381;31523348.01309454;-29100384.38787816
880;0.0044;-3082249.846741413;31808055.70623544;-28725805.85949403
890;0.004450000000000001;-3740440.959572402;32081462.14864174;-28341021.18906934
900;0.004500000000000001;-4397303.111540998;32343470.20030628;-27946167.08876528
910;0.00455;-5052602.922652334;32593986.7710159;-27541383.84836357
920;0.004600000000000001;-5706107.568003839;32832922.85342591;-27126815.28542208
930;0.00465;-6357584.860506714;33060193.55468392;-26702608.69417721
940;0.0047;-7006803.33338105;33275718.12659197;-26268914.79321092
950;0.004750000000000001;-7653532.322394764;33479419.9942959;-25825887.67190113
960;0.0048;-8297542.047817521;33671226.78349207;-25373684.73567455
970;0.004850000000000001;-8938603.696060421;33851070.34614158;-24912466.65008115
980;0.004900000000000001;-9576489.500972321;34018886.78468297;-24442397.28371065
990;0.00495;-10210972.82476411;34174616.47473471;-23963643.64997061
1000;0.005000000000000001;-10841828.23853202;34318204.08627944;-23476375.84774742
1010;0.005050000000000001;-11468831.60235142;34449598.60332251;-22980767.00097109
1020;0.0051;-12091760.14491269;34568753.34201764;-22476993.19710495
1030;0.005150000000000001;-12710392.54267083;34675625.96725354;-21965233.42458271
1040;0.005200000000000001;-13324508.99848059;34770178.50769537;-21445669.50921479
1050;0.00525;-13933891.3196894;34852377.36927573;-20918486.04958633
1060;0.005300000000000001;-14538322.99566021;34922193.34713048;-20383870.35147027
1070;0.005350000000000001;-15137589.27469659;34979601.63597515;-19842012.36127857
1080;0.0054;-15731477.24034308;35024581.83891806;-19293104.59857498
