Time-Step;tensao-a;tensao-b;tensao-c;flow-time
10;533.967990944065;-103.631474312639;-428.8565200353154;5e-05
20;536.3922523101545;-100.7786738744131;-436.2875795094612;0.0001
30;538.6259080089648;-97.89009566417536;-443.5636561615005;0.00015
40;540.668211868615;-94.96671825973959;-450.6821171904398;0.0002
50;542.5184401104503;-92.00957758552829;-457.6404313407395;0.00025
60;710.7835403405636;351.5735096659785;-1136.014259922619;0.0003
70;723.7305630844382;362.3693983297711;-1165.215713211858;0.00035
80;736.0360095116382;368.4994758648795;-1190.658311942547;0.0004
90;755.8453897412247;366.9295072162599;-1213.113105227188;0.00045
100;774.5466675359597;357.9826339663364;-1227.819338990074;0.0005
110;790.084707495765;345.2685202275655;-1231.231369589612;0.00055
120;833.5642253074207;309.5339750415862;-1236.837024761076;0.0006000000000000001
130;800.2750228464708;324.9413054616141;-1194.591734518165;0.00065
140;804.0899365594731;319.642233320845;-1192.172311194483;0.0007000000000000001
150;801.7222761161004;316.2099841984711;-1188.353309230924;0.00075
160;823.8942276404332;284.4642479248047;-1183.298021491182;0.0008
170;802.6238276987863;281.4804780734498;-1163.630059821218;0.0008500000000000001
180;768.6228068457254;240.5041551507383;-1104.707936898195;0.0009000000000000001
190;707.9089699783676;144.0408011168296;-952.367089912069;0.0009500000000000001
200;640.9010900660495;57.82527993965031;-810.5577362957995;0.001
210;602.8725275405166;13.25711768785543;-738.6872908632332;0.00105
220;587.282375208247;-0.5170733648023924;-701.6317092602505;0.0011
230;576.9860763749208;-5.053522361422713;-685.7271966462135;0.00115
240;572.3295264728303;-5.582897807482182;-682.4084991524442;0.0012
250;573.0340453476539;-1.185859794767605;-699.7635537642907;0.00125
260;577.0940403201142;5.298608997739305;-707.606856806901;0.0013
270;583.2462616626244;10.4167149131915;-721.0681536731432;0.00135
280;584.7122789529579;5.414601867335126;-729.8753647088467;0.0014
290;590.8501114496191;7.013977582167375;-737.3964032734161;0.00145
300;592.1384243904309;3.269708521585034;-741.4574588900603;0.0015
310;591.6653393152516;3.118461909964306;-741.7425564624482;0.00155
320;590.2488789404762;3.251827910809559;-739.2574847498851;0.0016
330;586.3728895525597;0.971356026721459;-733.3742763295577;0.00165
340;580.9490446370085;-0.3413290284306964;-727.1797971091459;0.0017
350;575.0353022099317;0.4320752919003585;-722.3218302884416;0.00175
360;569.2278077564953;1.478571760741088;-717.0982907463983;0.0018
370;563.6529550388027;5.030196756846832;-714.2841976693144;0.00185
380;558.5460867135616;8.765750135619223;-711.9348877297344;0.0019
390;553.8561897743043;11.64352931669913;-711.0739300643302;0.00195
400;550.167871677409;14.2137907661006;-710.623662555984;0.002
410;547.9426241544115;16.3675243397477;-710.887503734172;0.00205
420;547.6611225807324;17.76811960025723;-712.391214484455;0.0021
430;549.207335836562;18.51435952260584;-714.3340790464792;0.00215
